Tanggal_Beli,Ticker,Harga_Beli,Lot,Total_Modal,Target_TP,Target_CL,Mode_Beli,Change_Beli
2026-09-25 07:23,DEWI,222.0,899,19987736.700000003,233,215,MANUAL,-1.7699115044247788
2026-09-25 15:23,MDKA,3090.0,50,15473175.0,3244,2997,JADWAL,0.9803921568627452
2026-09-25 15:23,ARII,328.0,475,15603370.000000002,344,318,JADWAL,-1.7964071856287425
2026-09-25 15:23,PSKT,246.0,634,15619794.600000001,258,239,JADWAL,-1.6
2026-09-25 15:23,KDSI,466.0,334,15587746.6,489,452,JADWAL,0.0
2026-09-25 15:23,MRAT,364.0,428,15602568.799999999,382,353,JADWAL,1.1111111111111112
