Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 09:17,ASPI,690.0,725.0,TAKE_PROFIT 🎯,929207.25,4.65,,
2026-09-19 23:10,2026-09-21 09:17,AGII,3740.0,3520.0,CUT_LOSS ✂️,-1242373.0,-6.26,,
2026-09-19 23:10,2026-09-21 09:22,MOLI,380.0,368.0,CUT_LOSS ✂️,-708225.0,-3.54,,
2026-09-19 23:10,2026-09-21 09:57,SRSN,129.0,124.0,CUT_LOSS ✂️,-851941.8,-4.26,,
2026-09-19 23:10,2026-09-21 15:33,BNGA,1765.0,1755.0,AUTO_SQUARE_OFF 🧹,-192495.5,-0.96,,
2026-09-21 15:23,2026-09-22 09:02,JAWA,180.0,196.0,TAKE_PROFIT 🎯,1690116.0,8.45,JADWAL,0.0
2026-09-21 15:33,2026-09-22 09:12,SQMI,111.0,108.0,CUT_LOSS ✂️,-618226.35,-3.09,JADWAL,0.0
2026-09-21 15:33,2026-09-22 09:27,KING,410.0,432.0,TAKE_PROFIT 🎯,2030.5,4.95,JADWAL,0.0
2026-09-21 15:23,2026-09-22 10:02,IRSX,452.0,438.0,CUT_LOSS ✂️,-695589.3,-3.48,JADWAL,0.0
2026-09-21 15:23,2026-09-22 14:32,NEST,780.0,755.0,CUT_LOSS ✂️,-718272.0,-3.59,JADWAL,0.0
2026-09-21 15:23,2026-09-22 15:33,WAPO,262.0,258.0,AUTO_SQUARE_OFF 🧹,-383895.6,-1.92,JADWAL,
2026-09-22 15:23,2026-09-23 09:02,AYLS,200.0,185.0,CUT_LOSS ✂️,-55168.75,-7.87,JADWAL,14.942528735632186
2026-09-22 15:28,2026-09-23 09:02,PAMG,64.0,54.0,CUT_LOSS ✂️,-1023.1,-15.96,JADWAL,20.75471698113208
2026-09-22 15:23,2026-09-23 09:12,BPTR,99.0,92.0,CUT_LOSS ✂️,-1488243.45,-7.44,JADWAL,33.78378378378378
2026-09-22 15:23,2026-09-23 09:12,IDEA,135.0,148.0,TAKE_PROFIT 🎯,1838027.25,9.19,JADWAL,9.75609756097561
2026-09-22 15:23,2026-09-23 09:12,AGAR,2870.0,3030.0,TAKE_PROFIT 🎯,1022028.0,5.15,JADWAL,24.782608695652176
