Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 09:12,BYAN,13825.0,12900.0,CUT_LOSS ✂️,-1369182.5,-7.06,,
2026-09-19 23:10,2026-09-21 09:12,POWR,1025.0,980.0,CUT_LOSS ✂️,-950357.5,-4.77,,
2026-09-19 23:10,2026-09-21 09:37,SMKL,160.0,155.0,CUT_LOSS ✂️,-702312.0,-3.51,,
2026-09-19 23:10,2026-09-21 15:33,IDEA,123.0,123.0,AUTO_SQUARE_OFF 🧹,-79851.6,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,PGEO,1060.0,1065.0,AUTO_SQUARE_OFF 🧹,14053.0,0.07,,
2026-09-21 15:23,2026-09-22 09:02,BLTA,33.0,32.0,CUT_LOSS ✂️,-683460.45,-3.42,JADWAL,0.0
2026-09-21 15:33,2026-09-22 09:02,IDEA,123.0,123.0,SUSPEND_FORCE_EXIT ⚠️,-79851.6,-0.4,JADWAL,0.0
2026-09-21 15:23,2026-09-22 09:37,MOLI,374.0,400.0,TAKE_PROFIT 🎯,9775.6,6.52,JADWAL,0.0
2026-09-21 15:23,2026-09-22 15:33,ULTJ,2090.0,2070.0,AUTO_SQUARE_OFF 🧹,-268945.0,-1.35,JADWAL,
2026-09-21 15:23,2026-09-22 15:33,SMKL,161.0,158.0,AUTO_SQUARE_OFF 🧹,-450926.0,-2.26,JADWAL,
2026-09-21 15:33,2026-09-22 15:33,BUKK,1035.0,1035.0,AUTO_SQUARE_OFF 🧹,-79488.0,-0.4,JADWAL,
