Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 15:33,INET,332.0,322.0,AUTO_SQUARE_OFF 🧹,-679310.3,-3.4,,
2026-09-19 23:10,2026-09-21 15:33,GOTO,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,BABP,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,DADA,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,MAXI,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,,
2026-09-21 15:33,2026-09-22 14:27,BULL,400.0,388.0,CUT_LOSS ✂️,-677143.0,-3.39,JADWAL,0.0
2026-09-21 15:23,2026-09-22 15:33,BIPI,146.0,147.0,AUTO_SQUARE_OFF 🧹,41.35,0.28,JADWAL,
2026-09-21 15:33,2026-09-22 15:33,GOTO,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,JADWAL,
2026-09-21 15:33,2026-09-22 15:33,DADA,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,JADWAL,
2026-09-21 15:33,2026-09-22 15:33,BABP,50.0,50.0,AUTO_SQUARE_OFF 🧹,-79880.0,-0.4,JADWAL,
