Tanggal_Beli,Ticker,Harga_Beli,Lot,Total_Modal,Target_TP,Target_CL
2026-09-09 14:58,ESTI,199.0,1003,19989639.55,209,193
2026-09-09 14:58,WIDI,29.0,6886,19999354.1,30,28
2026-09-09 14:58,OLIV,69.0,2894,19998552.9,72,67
2026-09-09 14:58,HBAT,324.0,616,19988337.6,340,314
2026-09-09 14:58,MEDC,1575.0,126,19874767.5,1654,1528
