Tanggal_Beli,Ticker,Harga_Beli,Lot,Total_Modal,Target_TP,Target_CL,Mode_Beli
2026-09-19 23:10,BNGA,1765.0,113,19974416.75,1853,1712,JADWAL
2026-09-19 23:10,TOTO,242.0,825,19994947.500000004,254,235,JADWAL
2026-09-19 23:10,MTEL,500.0,399,19979925.0,525,485,JADWAL
2026-09-19 23:10,MAPI,1500.0,133,19979925.0,1575,1455,JADWAL
2026-09-19 23:10,AMAR,240.0,832,19997952.0,252,233,JADWAL
2026-09-21 15:23,SIDO,358.0,2,71707.40000000001,376,347,JADWAL
