Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-25 07:23,2026-09-25 09:12,UNSP,320.0,300.0,CUT_LOSS ✂️,-1324752.0,-6.62,MANUAL,25.0
2026-09-25 07:23,2026-09-25 09:22,ASLC,71.0,68.0,CUT_LOSS ✂️,-921351.8,-4.61,MANUAL,1.4285714285714286
2026-09-25 07:23,2026-09-25 09:32,BKDP,187.0,198.0,TAKE_PROFIT 🎯,1090954.15,5.46,MANUAL,1.6304347826086956
2026-09-25 07:23,2026-09-25 14:52,CARS,129.0,125.0,CUT_LOSS ✂️,-697528.8,-3.49,MANUAL,3.2
2026-09-25 07:23,2026-09-25 15:37,DEWI,222.0,224.0,AUTO_SQUARE_OFF 🧹,99519.3,0.5,MANUAL,-1.7699115044247788
2026-09-25 15:23,2026-09-25 15:37,MDKA,3090.0,3100.0,AUTO_SQUARE_OFF 🧹,-11925.0,-0.08,JADWAL,0.9803921568627452
2026-09-25 15:23,2026-09-25 15:37,ARII,328.0,328.0,AUTO_SQUARE_OFF 🧹,-62320.0,-0.4,JADWAL,-1.7964071856287425
2026-09-25 15:23,2026-09-25 15:37,PSKT,246.0,248.0,AUTO_SQUARE_OFF 🧹,64097.4,0.41,JADWAL,-1.6
2026-09-25 15:23,2026-09-25 15:37,KDSI,466.0,464.0,AUTO_SQUARE_OFF 🧹,-128890.6,-0.83,JADWAL,0.0
2026-09-25 15:23,2026-09-25 15:37,MRAT,364.0,360.0,AUTO_SQUARE_OFF 🧹,-233088.8,-1.49,JADWAL,1.1111111111111112
