Ticker,Target_TP,Target_CL,Stempel
MAPI,1575,1455,2026-09-19
CRAB,237,219,2026-09-19
BIKE,1186,1096,2026-09-19
URBN,242,223,2026-09-19
ASMI,17,16,2026-09-19
