Ticker,Target_TP,Target_CL,Stempel
IDEA,129,119,2026-09-19
PGEO,1113,1028,2026-09-19
SMKL,168,155,2026-09-19
BYAN,14516,13410,2026-09-19
POWR,1076,994,2026-09-19
