Ticker,Target_TP,Target_CL,Stempel
MTEL,525,485,2026-09-19
MAPI,1575,1455,2026-09-19
BNGA,1853,1712,2026-09-19
TOTO,254,235,2026-09-19
AMAR,252,233,2026-09-19
