Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%
2026-09-18 07:54,2026-09-18 20:55,BOBA,206.0,206.0,LIQUIDATE MANUAL 🧨,-79845.6,-0.4
2026-09-18 07:54,2026-09-18 20:55,TFAS,186.0,187.0,LIQUIDATE MANUAL 🧨,27200.55,0.14
2026-09-18 07:54,2026-09-18 20:55,CTBN,3050.0,3070.0,LIQUIDATE MANUAL 🧨,50375.0,0.25
