Ticker,Target_TP,Target_CL,Stempel
MOLI,399,369,2026-09-19
BNGA,1853,1712,2026-09-19
MGNA,227,210,2026-09-19
MPIX,210,194,2026-09-19
MTEL,525,485,2026-09-19
