Ticker,Target_TP,Target_CL,Stempel
SRSN,135,125,2026-09-19
MOLI,399,369,2026-09-19
BNGA,1853,1712,2026-09-19
ASPI,724,669,2026-09-19
AGII,3927,3628,2026-09-19
