Ticker,Harga (Rp),Harga MA20,Change (%),Volume,Vol Breakout,RSI (14D),Momentum,MA Signal,Status BB,Likuiditas,Total Score,Rekomendasi,Terakhir Update
DNET,9800.0,10000,0.5128205128205128,28500,Tembus MA20,47,Positif,Downtrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
DOSS,134.0,133,-0.7407407407407408,148700,Normal,52,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
DPNS,310.0,310,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
DRMA,930.0,902,0.5405405405405406,825700,Normal,55,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
DUTI,4090.0,4058,0.0,9500,Tembus MA20,59,Negatif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
DVLA,1560.0,1527,0.6451612903225806,4100,Normal,64,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
DWGL,224.0,226,0.9009009009009009,224500,Normal,43,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
EAST,90.0,88,0.0,337400,Normal,60,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
EDGE,4790.0,4790,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
ENAK,268.0,286,-2.898550724637681,528600,Normal,46,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
EPMT,2330.0,2320,1.3043478260869565,3100,Normal,51,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
ETWA,70.0,70,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
EURO,1760.0,1718,6.024096385542169,139400,Normal,50,Positif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
FAPA,7375.0,7348,-2.3178807947019866,28300,Tembus MA20,54,Negatif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
FASW,5312.4970703125,5312,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
FIMP,69.0,69,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
FISH,650.0,603,0.0,21200,Normal,58,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
FITT,372.0,378,-1.5873015873015872,566900,Tembus MA20,47,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
FORU,2950.0,3167,1.0273972602739725,604900,Normal,51,Positif,Downtrend,Normal,> 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
GDST,101.0,82,23.170731707317074,146342700,Tembus MA20,77,Positif,Uptrend,Breakout Upper,> 1 Miliar,4,BELI,2026-07-15 16:50:33
GDYR,1080.0,1086,-2.262443438914027,2700,Normal,48,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
GEMS,6500.0,6226,0.7751937984496124,62100,Normal,53,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
GGRP,296.0,291,0.6802721088435374,344800,Normal,59,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
GHON,1585.0,1601,-1.5527950310559007,11400,Normal,43,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
GLOB,155.0,155,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
GMTD,1315.0,1315,-2.5925925925925926,5600,Tembus MA20,42,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
GOLD,270.0,250,10.655737704918032,3049300,Tembus MA20,62,Positif,Uptrend,Normal,< 1 Miliar,4,BELI,2026-07-15 16:50:33
GOOD,302.0,309,-0.6578947368421052,195200,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
GRPH,59.0,58,-1.6666666666666667,661300,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
GTRA,220.0,189,16.402116402116402,2846500,Tembus MA20,66,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
GUNA,185.0,164,-1.5957446808510638,190800,Normal,65,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
GWSA,119.0,116,0.847457627118644,1582500,Tembus MA20,50,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
HAIS,179.0,176,-1.6483516483516485,214200,Normal,53,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
HDFA,86.0,88,-2.272727272727273,258600,Normal,44,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
HDIT,50.0,50,0.0,3539200,Normal,42,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
HELI,182.0,182,-0.546448087431694,514600,Normal,51,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
HERO,330.0,312,1.8518518518518516,298000,Normal,51,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
HEXA,4420.0,4401,1.3761467889908259,165400,Normal,54,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
HGII,122.0,123,0.0,464300,Tembus MA20,45,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
HILL,16.0,16,0.0,0,Normal,47,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
HITS,116.0,116,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
HRME,46.0,44,-9.803921568627452,11159200,Tembus MA20,52,Negatif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
HYGN,150.0,141,-2.5974025974025974,489400,Normal,59,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
IBFN,63.0,66,0.0,0,Normal,45,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
IBST,8475.0,8475,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
IDPR,302.0,297,-1.948051948051948,8500,Normal,55,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
IFII,216.0,212,1.8867924528301887,70000,Normal,51,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
IFSH,1240.0,1287,0.0,13100,Normal,48,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
IGAR,414.0,407,0.0,16200,Normal,50,Negatif,Uptrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
IKBI,565.0,527,1.8018018018018018,83500,Tembus MA20,72,Positif,Uptrend,Normal,< 1 Miliar,4,BELI,2026-07-15 16:50:33
IMAS,835.0,808,1.8292682926829267,63900,Normal,52,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
INAF,126.0,126,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
INAI,179.0,135,34.58646616541353,25815600,Tembus MA20,74,Positif,Uptrend,Breakout Upper,> 1 Miliar,4,BELI,2026-07-15 16:50:33
INCF,50.0,50,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
INCI,645.0,649,0.0,13900,Normal,49,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
INDR,2030.0,2012,0.0,79100,Tembus MA20,50,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
INDX,60.0,62,0.0,0,Normal,31,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
INOV,124.0,118,1.639344262295082,14049400,Tembus MA20,54,Positif,Uptrend,Normal,> 1 Miliar,4,BELI,2026-07-15 16:50:33
INPP,705.0,715,0.7142857142857143,1553200,Tembus MA20,45,Positif,Downtrend,Normal,> 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
INPS,580.0,621,-1.694915254237288,214900,Tembus MA20,43,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
INRU,590.0,590,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
IPCC,1245.0,1164,2.0491803278688523,909700,Tembus MA20,67,Positif,Uptrend,Breakout Upper,> 1 Miliar,4,BELI,2026-07-15 16:50:33
IPPE,14.0,14,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
ISSP,406.0,385,4.102564102564102,940100,Normal,65,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
ITIC,200.0,200,0.0,166600,Tembus MA20,46,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
ITMA,1330.0,1390,-0.7462686567164178,19100,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
JAWA,115.0,115,0.0,382000,Normal,46,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
JAYA,122.0,120,-0.8130081300813009,1511400,Tembus MA20,50,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
JECC,630.0,637,-0.7874015748031495,20800,Normal,51,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
JMAS,228.0,230,0.0,0,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
JRPT,1080.0,1080,0.0,213000,Normal,66,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
JSPT,1395.0,1338,0.3597122302158274,5000,Normal,57,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
JTPE,605.0,602,0.0,799400,Normal,52,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
KAEF,454.0,449,0.0,414500,Normal,48,Negatif,Uptrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
KARW,212.0,228,0.0,0,Normal,30,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
KAYU,18.0,18,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
KDSI,444.0,437,0.0,3700,Normal,56,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
KEJU,550.0,548,0.9174311926605505,34200,Normal,47,Positif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
KIAS,21.0,21,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
KING,310.0,330,0.6493506493506493,717600,Normal,26,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
KINO,1135.0,1123,-0.43859649122807015,46000,Tembus MA20,54,Negatif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
KMDS,540.0,534,0.9345794392523363,2200,Normal,54,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
KONI,2780.0,2688,-1.0676156583629894,98900,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
KSIX,278.0,326,-1.4184397163120568,37600,Normal,28,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LABS,146.0,143,-1.3513513513513513,817300,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
LFLO,490.0,575,-1.2096774193548387,15800,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LIFE,5850.0,5917,1.7391304347826086,1800,Tembus MA20,45,Positif,Downtrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
LINK,1415.0,1478,-1.048951048951049,19600,Normal,49,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LION,342.0,317,11.76470588235294,2009200,Tembus MA20,57,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
LIVE,208.0,216,-1.8867924528301887,109800,Normal,45,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LMSH,256.0,256,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LPCK,510.0,505,0.9900990099009901,832000,Tembus MA20,49,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
LPGI,675.0,675,0.0,300,Normal,49,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
LPIN,412.0,405,0.4878048780487805,31600,Normal,61,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
LPLI,238.0,236,0.847457627118644,13500,Normal,48,Positif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
LTLS,760.0,782,-2.564102564102564,6800,Normal,45,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MAPB,1110.0,955,9.900990099009901,200100,Tembus MA20,59,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
MARI,23.0,23,0.0,0,Normal,41,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MASB,3390.0,3380,0.0,9700,Normal,56,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MAXI,50.0,50,0.0,46400,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MAYA,188.0,189,-1.5706806282722512,983500,Tembus MA20,49,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
MBAP,1385.0,1360,1.094890510948905,9300,Normal,50,Positif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MCOL,3790.0,3797,-0.2631578947368421,75000,Tembus MA20,52,Negatif,Downtrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MDIY,980.0,885,3.7037037037037033,971200,Tembus MA20,74,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
MDLN,50.0,50,0.0,5237100,Tembus MA20,44,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
MDRN,26.0,28,0.0,0,Normal,35,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MEGA,1995.0,2027,-0.7462686567164178,28600,Normal,50,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MENN,53.0,53,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MERK,3800.0,3669,1.0638297872340425,33300,Tembus MA20,60,Positif,Uptrend,Squeeze,< 1 Miliar,4,BELI,2026-07-15 16:50:33
META,238.0,238,0.0,0,Normal,100,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
MFMI,1300.0,1297,0.0,0,Normal,100,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MGLV,8000.0,8260,-0.3115264797507788,82600,Normal,47,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MINE,222.0,214,-0.8928571428571428,1317800,Tembus MA20,50,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MITI,173.0,167,0.0,573600,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MKNT,1.0,1,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MKPI,21500.0,20869,2.7479091995221028,47400,Tembus MA20,67,Positif,Uptrend,Squeeze,> 1 Miliar,4,BELI,2026-07-15 16:50:33
MLBI,6325.0,6252,0.3968253968253968,169900,Tembus MA20,67,Positif,Uptrend,Normal,> 1 Miliar,4,BELI,2026-07-15 16:50:33
MLIA,240.0,241,0.0,43400,Tembus MA20,40,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
MLPT,20650.0,18188,10.2803738317757,116100,Tembus MA20,63,Positif,Uptrend,Breakout Upper,> 1 Miliar,4,BELI,2026-07-15 16:50:33
MMLP,298.0,295,0.0,343500,Tembus MA20,50,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MORA,6500.0,6916,-0.38314176245210724,447700,Normal,46,Negatif,Downtrend,Normal,> 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MPRO,9900.0,8723,0.0,200,Normal,69,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MPXL,148.0,147,0.6802721088435374,96700,Normal,46,Positif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MRAT,442.0,444,0.0,173900,Tembus MA20,50,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
MREI,920.0,939,0.0,0,Normal,30,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MSTI,1325.0,1237,0.3787878787878788,844500,Normal,71,Positif,Uptrend,Normal,> 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
MTFN,13.0,13,0.0,0,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MTLA,515.0,512,0.0,15700,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MTMH,960.0,944,-0.5181347150259068,700,Normal,51,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MTPS,81.0,81,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MTSM,500.0,500,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
MYOH,1045.0,1037,-0.4761904761904762,54400,Tembus MA20,49,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
MYTX,41.0,40,0.0,0,Normal,43,Negatif,Uptrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
NASA,31.0,31,0.0,288800,Normal,45,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
NASI,119.0,110,2.586206896551724,3108300,Tembus MA20,62,Positif,Uptrend,Normal,< 1 Miliar,4,BELI,2026-07-15 16:50:33
NATO,610.0,587,0.8264462809917356,112500,Normal,60,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
NELY,206.0,202,-0.9615384615384616,176500,Normal,49,Negatif,Uptrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
NETV,50.0,51,0.0,14618100,Normal,37,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
NFCX,1585.0,1624,0.6349206349206349,2900,Normal,41,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
NICE,272.0,256,0.7407407407407408,112000,Normal,58,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
NICK,1060.0,1002,1.4354066985645932,400,Normal,58,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
NINE,77.0,77,-3.75,6979900,Tembus MA20,45,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
NOBU,424.0,431,-0.4694835680751174,656800,Normal,41,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
OBAT,246.0,238,0.0,71000,Normal,54,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
OBMD,185.0,165,5.714285714285714,2362400,Tembus MA20,62,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
OMRE,995.0,1031,0.5050505050505051,5800,Tembus MA20,48,Positif,Downtrend,Bottom Rebound,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
PALM,296.0,299,0.6802721088435374,267000,Normal,44,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PANR,402.0,408,0.5,42400,Normal,40,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PBID,480.0,474,0.0,213300,Normal,53,Negatif,Uptrend,Squeeze,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
PBSA,730.0,715,1.3888888888888888,424200,Normal,51,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PDES,406.0,438,0.0,1500,Normal,27,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PDPP,260.0,265,-0.7633587786259541,35400,Normal,46,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PEHA,256.0,249,1.5873015873015872,116400,Normal,52,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PEVE,310.0,313,-1.89873417721519,519400,Tembus MA20,46,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PGJO,685.0,719,0.7352941176470588,25200,Normal,43,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PGUN,7225.0,7335,-0.3448275862068966,4600,Normal,48,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PICO,125.0,127,-3.10077519379845,1032200,Tembus MA20,45,Negatif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PJAA,462.0,456,0.8733624454148471,23900,Normal,53,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PLIN,2510.0,2510,0.0,0,Normal,100,Negatif,Downtrend,Squeeze,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PMJS,109.0,103,2.8301886792452833,537800,Tembus MA20,59,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
PMMP,50.0,50,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PNBS,50.0,50,0.0,75900,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PNGO,3480.0,3442,0.5780346820809248,31000,Tembus MA20,57,Positif,Uptrend,Squeeze,< 1 Miliar,4,BELI,2026-07-15 16:50:33
PNIN,735.0,727,0.684931506849315,310600,Tembus MA20,53,Positif,Uptrend,Squeeze,< 1 Miliar,4,BELI,2026-07-15 16:50:33
PNSE,500.0,523,0.0,9900,Normal,39,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
POLI,715.0,712,-0.6944444444444444,16600,Normal,44,Negatif,Uptrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
POLL,112.0,112,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
POLU,13475.0,12902,1.5065913370998116,8000,Tembus MA20,58,Positif,Uptrend,Normal,< 1 Miliar,4,BELI,2026-07-15 16:50:33
POLY,32.0,32,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PORT,865.0,851,-1.7045454545454544,32500,Tembus MA20,50,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
PRAY,665.0,677,-3.6231884057971016,23400,Normal,48,Negatif,Downtrend,Normal,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PRDA,2400.0,2511,0.8403361344537815,351000,Normal,44,Positif,Downtrend,Normal,< 1 Miliar,1,WAIT & SEE,2026-07-15 16:50:33
PSAT,850.0,813,0.0,87900,Normal,60,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
PSGO,198.0,197,0.5076142131979695,76000,Normal,57,Positif,Uptrend,Squeeze,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PSSI,316.0,288,0.0,2987400,Tembus MA20,62,Negatif,Uptrend,Breakout Upper,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PTDU,70.0,70,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PTMR,374.0,374,0.0,0,Normal,0,Negatif,Downtrend,Squeeze,< 1 Miliar,0,WAIT & SEE,2026-07-15 16:50:33
PTPS,138.0,126,1.4705882352941175,1591300,Tembus MA20,63,Positif,Uptrend,Breakout Upper,< 1 Miliar,4,BELI,2026-07-15 16:50:33
PTPW,1150.0,1194,0.43668122270742354,15400,Normal,52,Positif,Downtrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
PTSN,244.0,236,0.8264462809917356,620700,Tembus MA20,53,Positif,Uptrend,Normal,< 1 Miliar,4,BELI,2026-07-15 16:50:33
PTSP,885.0,875,1.7241379310344827,600,Normal,52,Positif,Uptrend,Normal,< 1 Miliar,3,WAIT & SEE,2026-07-15 16:50:33
PUDP,292.0,290,-2.013422818791946,113400,Tembus MA20,48,Negatif,Uptrend,Normal,< 1 Miliar,2,WAIT & SEE,2026-07-15 16:50:33
