Ticker,Status Akuisisi
GPSO,TIDAK ADA
DSNG,TIDAK ADA
KUAS,TIDAK ADA
GRPM,TIDAK ADA
BEER,TIDAK ADA
SRTG,TIDAK ADA
GZCO,TIDAK ADA
IOTF,TIDAK ADA
CNMA,TIDAK ADA
MCOR,TIDAK ADA
RICY,TIDAK ADA
APEX,TIDAK ADA
MEJA,TIDAK ADA
WIDI,TIDAK ADA
FIRE,TIDAK ADA
AVIA,TIDAK ADA
ACRO,TIDAK ADA
IKAI,TIDAK ADA
HRUM,TIDAK ADA
AGRO,TIDAK ADA
KBAG,TIDAK ADA
BEKS,TIDAK ADA
BJBR,TIDAK ADA
HEAL,TIDAK ADA
LSIP,TIDAK ADA
SIMP,TIDAK ADA
NANO,TIDAK ADA
PART,TIDAK ADA
IDEA,TIDAK ADA
PSDN,TIDAK ADA
KBLV,TIDAK ADA
PTMP,TIDAK ADA
PBRX,TIDAK ADA
INDF,TIDAK ADA
MYOR,TIDAK ADA
STRK,TIDAK ADA
ASRI,TIDAK ADA
TOBA,TIDAK ADA
PPRO,TIDAK ADA
PANI,TIDAK ADA
HOMI,TIDAK ADA
LABA,TIDAK ADA
MGRO,TIDAK ADA
BLTA,TIDAK ADA
ICBP,TIDAK ADA
CTTH,TIDAK ADA
FLMC,TIDAK ADA
ADHI,TIDAK ADA
BAPI,TIDAK ADA
JSMR,TIDAK ADA
KOPI,TIDAK ADA
SMGA,TIDAK ADA
CGAS,TIDAK ADA
PLAN,TIDAK ADA
BMBL,TIDAK ADA
LAPD,TIDAK ADA
FORE,TIDAK ADA
SOCI,TIDAK ADA
BCIC,TIDAK ADA
PURA,TIDAK ADA
TRIN,TIDAK ADA
CLEO,TIDAK ADA
AREA,TIDAK ADA
DKFT,TIDAK ADA
SAME,TIDAK ADA
NSSS,TIDAK ADA
IPTV,TIDAK ADA
BATR,TIDAK ADA
ASSA,TIDAK ADA
ERAL,TIDAK ADA
IKAN,TIDAK ADA
LOPI,TIDAK ADA
KRAS,TIDAK ADA
MPIX,TIDAK ADA
VIVA,TIDAK ADA
FAST,TIDAK ADA
AHAP,TIDAK ADA
TCPI,TIDAK ADA
UNTR,TIDAK ADA
BANK,TIDAK ADA
MAIN,TIDAK ADA
POLA,TIDAK ADA
BGTG,TIDAK ADA
TRON,TIDAK ADA
STAA,TIDAK ADA
BNGA,TIDAK ADA
NIKL,TIDAK ADA
MAPA,TIDAK ADA
SPRE,TIDAK ADA
MKAP,TIDAK ADA
EXCL,TIDAK ADA
CFIN,TIDAK ADA
WEHA,TIDAK ADA
JAST,TIDAK ADA
TRJA,TIDAK ADA
DYAN,TIDAK ADA
JARR,TIDAK ADA
DGIK,TIDAK ADA
ASLC,TIDAK ADA
HBAT,TIDAK ADA
ESTA,TIDAK ADA
WOWS,TIDAK ADA
MAHA,TIDAK ADA
BTPS,TIDAK ADA
TRUS,TIDAK ADA
INKP,TIDAK ADA
HALO,TIDAK ADA
RLCO,TIDAK ADA
TKIM,TIDAK ADA
IPCM,TIDAK ADA
GOLF,TIDAK ADA
CHEM,TIDAK ADA
WAPO,TIDAK ADA
FPNI,TIDAK ADA
TOTL,TIDAK ADA
MUTU,TIDAK ADA
MOLI,TIDAK ADA
BRRC,TIDAK ADA
TMPO,TIDAK ADA
BKSW,TIDAK ADA
ERTX,TIDAK ADA
BOLA,TIDAK ADA
TMAS,TIDAK ADA
TBLA,TIDAK ADA
RMKO,TIDAK ADA
WTON,TIDAK ADA
ARTO,TIDAK ADA
MPMX,TIDAK ADA
DSFI,TIDAK ADA
KLAS,TIDAK ADA
GJTL,TIDAK ADA
MHKI,TIDAK ADA
MANG,TIDAK ADA
VAST,TIDAK ADA
BDMN,TIDAK ADA
BAUT,TIDAK ADA
IRRA,TIDAK ADA
CPRO,TIDAK ADA
PAMG,TIDAK ADA
SOLA,TIDAK ADA
JATI,TIDAK ADA
CASH,TIDAK ADA
ASPI,TIDAK ADA
NAIK,TIDAK ADA
OKAS,TIDAK ADA
BOBA,TIDAK ADA
TAMU,TIDAK ADA
OLIV,TIDAK ADA
PKPK,TIDAK ADA
NISP,TIDAK ADA
TAMA,TIDAK ADA
RUIS,TIDAK ADA
AISA,TIDAK ADA
TPMA,TIDAK ADA
MERI,TIDAK ADA
ISEA,TIDAK ADA
KKES,TIDAK ADA
LPPS,TIDAK ADA
SATU,TIDAK ADA
ELIT,TIDAK ADA
TUGU,TIDAK ADA
LUCY,TIDAK ADA
BACA,TIDAK ADA
NRCA,TIDAK ADA
BAJA,TIDAK ADA
PANS,TIDAK ADA
WINS,TIDAK ADA
WIIM,TIDAK ADA
WGSH,TIDAK ADA
PTPP,TIDAK ADA
GEMA,TIDAK ADA
DIVA,TIDAK ADA
CHEK,TIDAK ADA
GRIA,TIDAK ADA
AGRS,TIDAK ADA
LPPF,TIDAK ADA
INPC,TIDAK ADA
RALS,TIDAK ADA
IMJS,TIDAK ADA
CENT,TIDAK ADA
KKGI,TIDAK ADA
INDS,TIDAK ADA
PPRI,TIDAK ADA
KOBX,TIDAK ADA
AUTO,TIDAK ADA
ITMG,TIDAK ADA
VISI,TIDAK ADA
LUCK,TIDAK ADA
PURI,TIDAK ADA
ESTI,TIDAK ADA
TRIS,TIDAK ADA
AWAN,TIDAK ADA
DATA,TIDAK ADA
TARA,TIDAK ADA
SMKL,TIDAK ADA
BOAT,TIDAK ADA
ECII,TIDAK ADA
UDNG,TIDAK ADA
ELPI,TIDAK ADA
POWR,TIDAK ADA
RELF,TIDAK ADA
CBDK,TIDAK ADA
SMSM,TIDAK ADA
ARKO,TIDAK ADA
PJHB,TIDAK ADA
AEGS,TIDAK ADA
SURI,TIDAK ADA
JIHD,TIDAK ADA
VRNA,TIDAK ADA
BLES,TIDAK ADA
UFOE,TIDAK ADA
AXIO,TIDAK ADA
MCAS,TIDAK ADA
KBLM,TIDAK ADA
BMHS,TIDAK ADA
PGLI,TIDAK ADA
SAPX,TIDAK ADA
IPOL,TIDAK ADA
IPAC,TIDAK ADA
APII,TIDAK ADA
SCNP,TIDAK ADA
PZZA,TIDAK ADA
WOMF,TIDAK ADA
BINO,TIDAK ADA
DART,TIDAK ADA
LMPI,TIDAK ADA
KICI,TIDAK ADA
CRSN,TIDAK ADA
NIRO,TIDAK ADA
ASJT,TIDAK ADA
CAMP,TIDAK ADA
MDKI,TIDAK ADA
LRNA,TIDAK ADA
STAR,TIDAK ADA
DMMX,TIDAK ADA
WINE,TIDAK ADA
SBMA,TIDAK ADA
KLIN,TIDAK ADA
TYRE,TIDAK ADA
CINT,TIDAK ADA
KMTR,TIDAK ADA
TNCA,TIDAK ADA
VOKS,TIDAK ADA
EKAD,TIDAK ADA
VICO,TIDAK ADA
MKTR,TIDAK ADA
SKLT,TIDAK ADA
VINS,TIDAK ADA
INTD,TIDAK ADA
ADMG,TIDAK ADA
AKPI,TIDAK ADA
TRST,TIDAK ADA
SDPC,TIDAK ADA
FMII,TIDAK ADA
PTIS,TIDAK ADA
RELI,TIDAK ADA
MICE,TIDAK ADA
CSAP,TIDAK ADA
TFAS,TIDAK ADA
CAKK,TIDAK ADA
TRGU,TIDAK ADA
GLVA,TIDAK ADA
MTWI,TIDAK ADA
BMAS,TIDAK ADA
IKPM,TIDAK ADA
BTON,TIDAK ADA
FOOD,TIDAK ADA
CANI,TIDAK ADA
KOIN,TIDAK ADA
GTBO,TIDAK ADA
INTA,TIDAK ADA
CMPP,TIDAK ADA
SMBR,TIDAK ADA
LMAX,TIDAK ADA
SULI,TIDAK ADA
KDTN,TIDAK ADA
FWCT,TIDAK ADA
CARS,TIDAK ADA
RAAM,TIDAK ADA
KBLI,TIDAK ADA
MTDL,TIDAK ADA
ASLI,TIDAK ADA
ATIC,TIDAK ADA
NEST,TIDAK ADA
AMAR,TIDAK ADA
ARNA,TIDAK ADA
SPMA,TIDAK ADA
INTP,TIDAK ADA
BUDI,TIDAK ADA
RISE,TIDAK ADA
PNBN,TIDAK ADA
JKON,TIDAK ADA
HADE,TIDAK ADA
ALII,TIDAK ADA
MBSS,TIDAK ADA
SMKM,TIDAK ADA
DLTA,TIDAK ADA
SAGE,TIDAK ADA
RCCC,TIDAK ADA
CMRY,TIDAK ADA
MDLA,TIDAK ADA
BVIC,TIDAK ADA
PCAR,TIDAK ADA
BEST,TIDAK ADA
GGRM,TIDAK ADA
PPGL,TIDAK ADA
DOID,TIDAK ADA
CSIS,TIDAK ADA
AALI,TIDAK ADA
ABBA,TIDAK ADA
ABDA,TIDAK ADA
ABMM,TIDAK ADA
ACST,TIDAK ADA
ADCP,TIDAK ADA
ADES,TIDAK ADA
ADMF,TIDAK ADA
AGAR,TIDAK ADA
AGII,TIDAK ADA
AIMS,TIDAK ADA
AKKU,TIDAK ADA
AKSI,TIDAK ADA
ALDO,TIDAK ADA
ALKA,TIDAK ADA
ALMI,TIDAK ADA
ALTO,TIDAK ADA
AMAG,TIDAK ADA
AMAN,TIDAK ADA
AMFG,TIDAK ADA
AMIN,TIDAK ADA
AMMS,TIDAK ADA
AMOR,TIDAK ADA
ANJT,TIDAK ADA
APIC,TIDAK ADA
APLI,TIDAK ADA
ARGO,TIDAK ADA
ARII,TIDAK ADA
ARKA,TIDAK ADA
ARMY,TIDAK ADA
ARTA,TIDAK ADA
ARTI,TIDAK ADA
ASBI,TIDAK ADA
ASDM,TIDAK ADA
ASGR,TIDAK ADA
ASMI,TIDAK ADA
ASRM,TIDAK ADA
ATAP,TIDAK ADA
ATLA,TIDAK ADA
BABP,TIDAK ADA
BALI,TIDAK ADA
BATA,TIDAK ADA
BAYU,TIDAK ADA
BBHI,TIDAK ADA
BBLD,TIDAK ADA
BBMD,TIDAK ADA
