Ticker,Target_TP,Target_CL,Stempel
PGEO,1144,1057,2026-09-23
SGER,782,723,2026-09-23
BSSR,5775,5335,2026-09-23
MAYA,220,204,2026-09-23
NATO,1328,1227,2026-09-23
