Ticker,Target_TP,Target_CL,Stempel
DEWI,237,219,2026-09-23
SMLE,279,258,2026-09-23
LAPD,89,82,2026-09-23
PGEO,1144,1057,2026-09-23
PKPK,5460,5044,2026-09-23
