Ticker,Target_TP,Target_CL,Stempel
DEWI,237,219,2026-09-23
LAPD,89,82,2026-09-23
HADE,32,29,2026-09-23
BAPI,24,22,2026-09-23
PKPK,5460,5044,2026-09-23
