Ticker,Target_TP,Target_CL,Stempel
UNSP,269,248,2026-09-23
MAPI,1586,1465,2026-09-23
MAYA,220,204,2026-09-23
BSSR,5775,5335,2026-09-23
INTD,376,347,2026-09-23
