Ticker,Target_TP,Target_CL,Stempel
DEWI,237,219,2026-09-23
SMLE,279,258,2026-09-23
MPXL,231,213,2026-09-23
EMMI,441,407,2026-09-23
MDKA,3234,2988,2026-09-23
