Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 15:33,BNGA,1765.0,1755.0,AUTO_SQUARE_OFF 🧹,-192495.5,-0.96,,
2026-09-19 23:10,2026-09-21 15:33,TOTO,242.0,242.0,AUTO_SQUARE_OFF 🧹,-79860.0,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,MTEL,500.0,494.0,AUTO_SQUARE_OFF 🧹,-318601.5,-1.59,,
2026-09-19 23:10,2026-09-21 15:33,MAPI,1500.0,1495.0,AUTO_SQUARE_OFF 🧹,-146133.75,-0.73,,
2026-09-19 23:10,2026-09-21 15:33,AMAR,240.0,234.0,AUTO_SQUARE_OFF 🧹,-577824.0,-2.89,,
2026-09-21 15:33,2026-09-22 09:02,BLTA,33.0,32.0,CUT_LOSS ✂️,-683460.45,-3.42,JADWAL,0.0
2026-09-21 15:33,2026-09-22 10:27,JECX,1450.0,1405.0,CUT_LOSS ✂️,-694418.75,-3.49,JADWAL,0.0
2026-09-21 15:33,2026-09-22 14:37,VERN,238.0,230.0,CUT_LOSS ✂️,-749394.8,-3.75,JADWAL,0.0
2026-09-21 15:23,2026-09-22 15:33,SIDO,358.0,352.0,AUTO_SQUARE_OFF 🧹,-1483.4,-2.07,JADWAL,
2026-09-21 15:33,2026-09-22 15:33,NEST,775.0,755.0,AUTO_SQUARE_OFF 🧹,-592385.0,-2.97,JADWAL,
2026-09-22 15:28,2026-09-23 09:02,CSIS,204.0,198.0,CUT_LOSS ✂️,-2720.4,-3.33,JADWAL,0.0
2026-09-22 15:28,2026-09-23 10:27,NOBU,560.0,540.0,CUT_LOSS ✂️,-789964.0,-3.96,JADWAL,4.672897196261682
2026-09-22 15:23,2026-09-23 10:42,GLVA,338.0,326.0,CUT_LOSS ✂️,-785998.0,-3.94,JADWAL,3.6809815950920246
2026-09-22 15:23,2026-09-23 15:37,JECX,1500.0,1455.0,AUTO_SQUARE_OFF 🧹,-676803.75,-3.39,JADWAL,3.4482758620689653
2026-09-22 15:23,2026-09-23 15:37,SUPA,490.0,492.0,AUTO_SQUARE_OFF 🧹,1424.5,0.01,JADWAL,0.0
2026-09-22 15:33,2026-09-23 15:37,KMDS,530.0,525.0,AUTO_SQUARE_OFF 🧹,-267242.0,-1.34,JADWAL,0.9523809523809524
